Botanical Name,Common Name,Link: Missouri Botanical Garden,Link: Wildflower.org,Link: Pleasantrunnursery.com,Link: Newmoonnursery.com,Link: Pinelandsnursery.com
Onoclea Sensibilis,SENSITIVE FERN,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=l300,https://www.wildflower.org/plants/result.php?id_plant=ONSE,https://www.pleasantrunnursery.com/plant-name/Onoclea-sensibilis,,https://www.pinelandsnursery.com/onoclea-sensibilis-sensitive-fern-tubeling
Osmunda cinnamomea,CINNAMON FERN,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i570,https://www.wildflower.org/plants/result.php?id_plant=OSCI,https://www.pleasantrunnursery.com/plant-name/Osmunda-cinnamomea,https://newmoonnursery.com/nursery-plants/luzula-acuminata/,https://www.pinelandsnursery.com/osmunda-cinnamomea-cinnamon-fern-1-pot
Osmunda regalis,ROYAL FERN,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=l320,https://www.wildflower.org/plants/result.php?id_plant=osre,https://www.pleasantrunnursery.com/plant-name/Royal_Fern,,https://www.pinelandsnursery.com/osmunda-regalis-royal-fern-tubeling
Polystichum acrostichoides,CHRISTMAS FERN,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a710,https://www.wildflower.org/plants/result.php?id_plant=poac4,https://www.pleasantrunnursery.com/plant-name/Polystichum-acrostichoides,https://newmoonnursery.com/nursery-plants/tiarella-cordifolia-wherryi/,https://www.pinelandsnursery.com/polystichum-acrostichoides-christmas-fern-tubeling
Andropogon gerardii,BIG BLUESTEM,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g720,https://www.wildflower.org/plants/result.php?id_plant=ange,https://www.pleasantrunnursery.com/plant-name/Andropogon-gerardii-Blackhawks,https://newmoonnursery.com/nursery-plants/andropogon-gerardii-holy-smoke/,https://www.pinelandsnursery.com/andropogon-gerardii-big-bluestem-seed
Carex amphibola,CREEK SEDGE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f237,https://www.wildflower.org/plants/result.php?id_plant=caam8,https://www.pleasantrunnursery.com/plant-name/Carex-albicans,https://newmoonnursery.com/nursery-plants/carex-amphibola/,https://www.pinelandsnursery.com/carex-stricta-tussock-sedge-seed
Carex crinita,FRINGED SEDGE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279732,https://www.wildflower.org/plants/result.php?id_plant=cacr6,https://www.pleasantrunnursery.com/plant-name/Carex-albicans,https://newmoonnursery.com/nursery-plants/carex-crinita/,https://www.pinelandsnursery.com/carex-crinita-fringed-sedge-2-plug
Carex grayi,GRAY SEDGE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279804,https://www.wildflower.org/plants/result.php?id_plant=CAGR5,https://www.pleasantrunnursery.com/plant-name/Carex-grayi,https://newmoonnursery.com/nursery-plants/carex-grayi/,https://www.pinelandsnursery.com/carex-stricta-tussock-sedge-seed
Carex laxiculmis,CREEPING SEDGE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279805,https://www.wildflower.org/plants/result.php?id_plant=CALAL4,https://www.pleasantrunnursery.com/plant-name/Carex-laxiculmis-Bunny-Blue,https://newmoonnursery.com/nursery-plants/carex-laxiculmis/,https://www.pinelandsnursery.com/carex-stricta-tussock-sedge-seed
Carex pensylvanica,PENNSYLVANIA SEDGE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f237,https://www.wildflower.org/plants/result.php?id_plant=cape6,https://www.pleasantrunnursery.com/plant-name/Carex-pensylvanica,https://newmoonnursery.com/nursery-plants/carex-pensylvanica/,https://www.pinelandsnursery.com/carex-pensylvanica-pennsylvania-sedge-2-plug
Carex plantaginea,SEERSUCKER SEDGE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279765&isprofile=1&gen=Carex,https://www.wildflower.org/plants/result.php?id_plant=CAAL3,https://www.pleasantrunnursery.com/plant-name/Carex-plantaginea,https://newmoonnursery.com/nursery-plants/carex-plantaginea/,https://www.pinelandsnursery.com/carex-plantaginea-1-pot
Carex stipata,AWL-FRUITED SEDGE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279745,https://www.wildflower.org/plants/result.php?id_plant=cast5,https://www.pleasantrunnursery.com/plant-name/Carex-albicans,,https://www.pinelandsnursery.com/carex-stipata-awl-fruit-sedge-2-plug
Carex stricta,TUSSOCK SEDGE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d584,https://www.wildflower.org/plants/result.php?id_plant=CAST8,https://www.pleasantrunnursery.com/plant-name/Carex-albicans,https://newmoonnursery.com/nursery-plants/carex-stricta/,https://www.pinelandsnursery.com/carex-stricta-tussock-sedge-seed
Carex vulpinoidea,FOX SEDGE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g760,https://www.wildflower.org/plants/result.php?id_plant=cavu2,https://www.pleasantrunnursery.com/plant-name/Carex-vulpinoidea,https://newmoonnursery.com/nursery-plants/carex-vulpinoidea/,https://www.pinelandsnursery.com/carex-vulpinoidea-fox-sedge-seed
Chasmanthium latifolium,NORTHERN SEA OATS,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a240,https://www.wildflower.org/plants/result.php?id_plant=veha2,https://www.pleasantrunnursery.com/plant-name/Chasmanthium-latifolium,https://newmoonnursery.com/nursery-plants/chasmanthium-latifolium/,https://www.pinelandsnursery.com/chasmanthium-latifolium
Deshampsia cespitosa,TUFTED HAIRGRASS,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c450,https://www.wildflower.org/plants/result.php?id_plant=pedi,https://www.pleasantrunnursery.com/plant-name/Deschampsia-cespitosa,https://newmoonnursery.com/nursery-plants/deschampsia-flexuosa-sold-out-until-2021/,https://www.pinelandsnursery.com/deschampsia-cespitosa-1-pot
Elymus virginicus,VIRGINIA WILD RYE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=285239,https://www.wildflower.org/plants/result.php?id_plant=ELVIV,https://www.pleasantrunnursery.com/plant-name/Elymus-virginicus,https://newmoonnursery.com/nursery-plants/elymus-virginicus/,https://www.pinelandsnursery.com/elymus-virginicus-virginia-wild-rye-seed
Eragrostis spectabilis,PURPLE LOVEGRASS,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d593,https://www.wildflower.org/plants/result.php?id_plant=ersp,https://www.pleasantrunnursery.com/plant-name/Eragrostis-spectabilis,https://newmoonnursery.com/nursery-plants/eragrostis-spectabilis/,https://www.pinelandsnursery.com/eragrostis-spectabilis-1-pot
Juncus effusus,SOFT RUSH,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c262,https://www.wildflower.org/plants/result.php?id_plant=JUEF,https://www.pleasantrunnursery.com/plant-name/Juncus-effusus,https://newmoonnursery.com/nursery-plants/juncus-effusus/,https://www.pinelandsnursery.com/juncus-effusus-soft-rush-seed
Panicum virgatum,SWITCHGRASS,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=l460,https://www.wildflower.org/plants/result.php?id_plant=pavi2,https://www.pleasantrunnursery.com/plant-name/Panicum-virgatum,https://newmoonnursery.com/nursery-plants/panicum-virgatum-prairie-dog/,https://www.pinelandsnursery.com/panicum-virgatum-switchgrass-seed
Schizachyrium scoparium,LITTLE BLUESTEM,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f510,https://www.wildflower.org/plants/result.php?id_plant=SCSC,https://www.pleasantrunnursery.com/plant-name/Schizachyrium-scoparium,https://newmoonnursery.com/nursery-plants/schizachyrium-scoparium-sandhill/,https://www.pinelandsnursery.com/schizachyrium-scoparium-little-bluestem-seed
Sorghastrum nutans,INDIANGRASS,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g780,https://www.wildflower.org/plants/result.php?id_plant=sonu2,https://www.pleasantrunnursery.com/plant-name/Sorghastrum-nutans,https://newmoonnursery.com/nursery-plants/sorghastrum-nutans-indian-steel/,https://www.pinelandsnursery.com/sorghastrum-nutans-indiangrass-seed
Sporobolus heterolepis,PRAIRIE DROPSEED,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f680,https://www.wildflower.org/plants/result.php?id_plant=ecpu,https://www.pleasantrunnursery.com/plant-name/Sporobolus-heterolepis,https://newmoonnursery.com/nursery-plants/sporobolus-heterolepis-tara/,https://www.pinelandsnursery.com/sporobolus-heterolepis-1-pot
Andromeda polifolia,BOG ROSEMARY,https://plants.ces.ncsu.edu/plants/andromeda-polifolia/,https://www.wildflower.org/plants/result.php?id_plant=anpo,https://www.pleasantrunnursery.com/plant-name/Pieris-japonica-Cavatine,,https://www.pinelandsnursery.com/search?query=Andromeda+polifolia
Aronia arbutifolia,RED CHOKEBERRY,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286551,https://www.wildflower.org/plants/result.php?id_plant=ARAR7,https://www.pleasantrunnursery.com/plant-name/Aronia-arbutifolia-Brilliantissima,,https://www.pinelandsnursery.com/photinia-pyrifolia-red-chokeberry-1-pot
Aronia melanocarpa,BLACK CHOKEBERRY,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=241869,https://www.wildflower.org/plants/result.php?id_plant=ARME6,https://www.pleasantrunnursery.com/plant-name/Aronia-melanocarpa-Ground-Hug,,https://www.pinelandsnursery.com/photinia-melanocarpa-black-chokeberry-1-pot
Cephalanthus occidentalis,BUTTONBUSH,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g830,https://www.wildflower.org/plants/result.php?id_plant=ceoc2,https://www.pleasantrunnursery.com/plant-name/Buttonbush,https://newmoonnursery.com/nursery-plants/cephalanthus-occidentalis/,https://www.pinelandsnursery.com/cephalanthus-occidentalis-buttonbush-1-pot
Clethra alnifolia,SWEET PEPPERBUSH,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c230,https://www.wildflower.org/plants/result.php?id_plant=clal3,https://www.pleasantrunnursery.com/plant-name/Clethra-alnifolia-Compacta,,https://www.pinelandsnursery.com/clethra-alnifolia-sweet-pepperbush-5-pot
Cornus amomum,SILKY DOGWOOD,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g800,https://www.wildflower.org/plants/result.php?id_plant=COOB9,https://www.pleasantrunnursery.com/plant-name/Cornus-amomum,,https://www.pinelandsnursery.com/cornus-amomum-silky-dogwood-1-pot
Cornus racemosa,GRAYSTEM DOGWOOD,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j930,https://www.wildflower.org/plants/result.php?id_plant=cora6,https://www.pleasantrunnursery.com/plant-name/Cornus-racemosa,,https://www.pinelandsnursery.com/cornus-racemosa-gray-dogwood-1-pot
Cornus sericea,RED-TWIG DOGWOOD,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279363,https://www.wildflower.org/plants/result.php?id_plant=cose16,https://www.pleasantrunnursery.com/plant-name/Cornus-sericea-Arctic-Fire-Red,,https://www.pinelandsnursery.com/cornus-sericea-redosier-dogwood-1-pot
Hamamelis Virginiana,WITCHHAZEL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=281023,https://www.wildflower.org/plants/result.php?id_plant=HAVI4,https://www.pleasantrunnursery.com/plant-name/Hamamelis-virginiana,,https://www.pinelandsnursery.com/hamamelis-virginiana-american-witch-hazel-1-pot
Hydrangea quercifolia,OAKLEAF HYDRANGEA,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d380,https://www.wildflower.org/plants/result.php?id_plant=HYQU3,https://www.pleasantrunnursery.com/plant-name/Hydrangea-quercifolia-Gatsby-Moon,,https://www.pinelandsnursery.com/search?query=Hydrangea+quercifolia
Ilex glabra,INKBERRY,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d553,https://www.wildflower.org/plants/result.php?id_plant=ilgl,https://www.pleasantrunnursery.com/plant-name/Ilex-glabra-Compacta,,https://www.pinelandsnursery.com/ilex-glabra-inkberry-holly-1-pot
Ilex verticillata,COMMON WINTERBERRY,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a655,https://www.wildflower.org/plants/result.php?id_plant=Ilve,https://www.pleasantrunnursery.com/plant-name/Ilex-verticillata-Jim-Dandy,,https://www.pinelandsnursery.com/ilex-verticillata-winterberry-holly-1-pot
Itea virginica,VIRGINIA SWEETSPIRE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=k720,https://www.wildflower.org/plants/result.php?id_plant=ITVI,https://www.pleasantrunnursery.com/plant-name/Itea-virginica-Fizzy-Mizzy,,https://www.pinelandsnursery.com/itea-virginica-virginia-sweetspire-1-pot
Kalmia latifolia,MOUNTAIN LAUREL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c798,https://www.wildflower.org/plants/result.php?id_plant=KALA,https://www.pleasantrunnursery.com/plant-name/Bullseye_Mountain_Laurel,https://newmoonnursery.com/nursery-plants/phlox-carolina/,https://www.pinelandsnursery.com/spiraea-latifolia-meadowsweet-1-pot
Leucothoe racemosa,FETTERBUSH,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=446191,https://www.wildflower.org/plants/result.php?id_plant=LYLU3,https://www.pleasantrunnursery.com/plant-name/Actaea-racemosa,,https://www.pinelandsnursery.com/cornus-racemosa-gray-dogwood-1-pot
Lindera benzoin,SPICEBUSH,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d890,https://www.wildflower.org/plants/result.php?id_plant=libe3,https://www.bing.com/search?q=%22Lindera+benzoin%22+site%3Apleasantrunnursery.com&rdr=1&rdrig=5E52F458C86D4464921E8876D1979C9B#,https://www.bing.com/search?q=%22Lindera+benzoin%22+site%3Anewmoonnursery.com&rdr=1&rdrig=FAC69C5E762E402B94937EC9311CE956#,https://www.bing.com/search?q=%22Lindera+benzoin%22+site%3Apinelandsnursery.com&rdr=1&rdrig=5210A36611794517A9D6B5B3B2C909EE#
Myrica pensylvanica,NORTHERN BAYBERRY,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=256525,https://www.wildflower.org/plants/result.php?id_plant=mope6,https://www.pleasantrunnursery.com/plant-name/Myrica-pensylvanica,,https://www.pinelandsnursery.com/morella-pensylvanica-northern-bayberry-1-pot
Rhododendron viscosum,SWAMP AZALEA,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=280018,https://www.wildflower.org/plants/result.php?id_plant=rhvi2,https://www.pleasantrunnursery.com/plant-name/Rhododendron-atlanticum-Fragrant-Star,,https://www.pinelandsnursery.com/rhododendron-viscosum-swamp-azalea-5
Rhus aromatica,FRAGRANT SUMAC,https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=275952,https://www.wildflower.org/plants/result.php?id_plant=rhar4,https://www.pleasantrunnursery.com/plant-name/Rhus-aromatica,,https://www.pinelandsnursery.com/rhus-aromatica
Rosa carolina,CAROLINA ROSE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f370,https://www.wildflower.org/plants/result.php?id_plant=robl,https://www.pleasantrunnursery.com/plant-name/Rosa-carolina,https://newmoonnursery.com/nursery-plants/liatris-microcephala/,https://www.pinelandsnursery.com/rosa-carolina-carolina-rose-1-pot
Sambucus canadensis,ELDERBERRY,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f470,https://www.wildflower.org/plants/result.php?id_plant=sanic4,https://www.pleasantrunnursery.com/plant-name/Sambucus-canadensis-Adams,,https://www.pinelandsnursery.com/sambucus-canadensis-black-elderberry-1-pot
Spiraea latifolia,MEADOWSWEET,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286372,https://www.wildflower.org/plants/result.php?id_plant=SPALL,https://www.pleasantrunnursery.com/plant-name/Bullseye_Mountain_Laurel,,https://www.pinelandsnursery.com/spiraea-latifolia-meadowsweet-1-pot
Spiraea tomentosa,STEEPLEBUSH,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e412,https://www.wildflower.org/plants/result.php?id_plant=spto2,https://www.pleasantrunnursery.com/plant-name/Spiraea-tomentosa,,https://www.pinelandsnursery.com/spiraea-tomentosa-steeplebush-1-pot
Vaccinium corymbosum,HIGHBUSH BLUEBERRY,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279992,https://www.wildflower.org/plants/result.php?id_plant=vaco,https://www.pleasantrunnursery.com/plant-name/Vaccinium_corymbosum_Blue_Jay,,https://www.pinelandsnursery.com/vaccinium-corymbosum-highbush-blueberry-5-pot
Viburnum acerifolium,MAPLELEAF VIBURNUM,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a192,https://www.wildflower.org/plants/result.php?id_plant=VIAC,https://www.pleasantrunnursery.com/plant-name/Viburnum-acerifolium,,https://www.pinelandsnursery.com/viburnum-lentago-nannyberry-2-pot
Viburnum dentatum,ARROWWOOD VIBURNUM,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m720,https://www.wildflower.org/plants/result.php?id_plant=vide,https://www.pleasantrunnursery.com/plant-name/Viburnum-dentatum-Blue-Muffin,,https://www.pinelandsnursery.com/viburnum-dentatum-arrowwood-viburnum-1-pot
Viburnum lentago,NANNYBERRY,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m750,https://www.wildflower.org/plants/result.php?id_plant=phno2,https://www.pleasantrunnursery.com/plant-name/Viburnum-acerifolium,,https://www.pinelandsnursery.com/viburnum-lentago-nannyberry-2-pot
Viburnum nudum,POSSUMHAW VIRBURNUM,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=278959,https://www.wildflower.org/plants/result.php?id_plant=VINU,https://www.pleasantrunnursery.com/plant-name/Viburnum-nudum-Brandywine,,https://www.pinelandsnursery.com/viburnum-nudum-possumhaw-tubeling
Viburnum trilobum,CRANBERRY VIBURNUM,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c365,https://www.wildflower.org/plants/result.php?id_plant=vide,https://www.pleasantrunnursery.com/plant-name/Viburnum-trilobum-Bailey-Compact,,https://www.pinelandsnursery.com/viburnum-trilobum-cranberry-viburnum-1-pot
Amelanchier canadensis,SERVICEBERRY,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=358428,https://www.wildflower.org/plants/result.php?id_plant=amca4,https://www.pleasantrunnursery.com/plant-name/Amelanchier-canadensis,,https://www.pinelandsnursery.com/amelanchier-canadensis-shadbush-5-pot
Asimina triloba,COMMON PAWPAW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b500,https://www.wildflower.org/plants/result.php?id_plant=astr,https://www.pleasantrunnursery.com/plant-name/Asimina-triloba-,,https://www.pinelandsnursery.com/asimina-triloba-pawpaw-2-pot
Betula nigra,RIVER BIRCH,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c585,https://www.wildflower.org/plants/result.php?id_plant=beni,https://www.pleasantrunnursery.com/plant-name/Betula-nigra-Dura-Heat,,https://www.pinelandsnursery.com/betula-nigra-river-birch-2pot
Cercis canadensis,EASTERN REDBUD,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=h550,https://www.wildflower.org/plants/result.php?id_plant=ceca4,https://www.pleasantrunnursery.com/plant-name/Cercis-canadensis,,https://www.pinelandsnursery.com/cercis-canadensis-eastern-redbud-2-pot
Cornus florida,FLOWERING DOGWOOD,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c280,https://www.wildflower.org/plants/result.php?id_plant=cofl2,https://www.pleasantrunnursery.com/plant-name/Cornus-florida-Appalachian-Joy,,https://www.pinelandsnursery.com/cornus-florida-flowering-dogwood-7-pot
Magnolia virginiana,SWEETBAY MAGNOLIA,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e110,https://www.wildflower.org/plants/result.php?id_plant=mavi2,https://www.pleasantrunnursery.com/plant-name/Magnolia-virginiana,,https://www.pinelandsnursery.com/magnolia-virginiana-sweetbay-magnolia-2-pot